iter	RMSE
0	1.536483784
1	1.46951006
2	1.405958308
3	1.346097448
4	1.289356243
5	1.235207262
6	1.18408801
7	1.136392106
8	1.090857716
9	1.048024102
10	1.00724011
11	0.9690562649
12	0.9328644965
13	0.8990265242
14	0.8670057473
15	0.8364001608
16	0.807383201
17	0.7802655123
18	0.7546495563
19	0.7305364726
20	0.7085960207
21	0.6875693626
22	0.6676486178
23	0.6491010758
24	0.6316491982
25	0.6153785275
26	0.5999383162
27	0.5857123505
28	0.5724012512
29	0.5596512478
30	0.5480160363
31	0.5369457975
32	0.5267697842
33	0.5174737582
34	0.5090527123
35	0.5009141727
36	0.4932435179
37	0.4862631837
38	0.479523503
39	0.4732761734
40	0.4676093836
41	0.4621706527
42	0.4572747184
43	0.4525782808
44	0.4485346443
45	0.444450931
46	0.4407940555
47	0.4372957044
48	0.4341180689
49	0.4312811923
50	0.4283854041
51	0.4259161122
52	0.4234156268
53	0.4211256828
54	0.4190139875
55	0.4170875313
56	0.4152790304
57	0.4136303944
58	0.4121013765
59	0.410575506
60	0.4091995599
61	0.4077071027
62	0.4065468662
63	0.4048198884
64	0.4034557519
65	0.4019092139
66	0.4008518476
67	0.3999598031
68	0.3991081908
69	0.3979833513
70	0.3968984106
71	0.3962451245
72	0.3953658148
73	0.3943823557
74	0.3933699999
75	0.392364293
76	0.3919069076
77	0.3912570688
78	0.3906037341
79	0.389877998
80	0.3890705318
81	0.3885134829
82	0.3877954803
83	0.387150446
84	0.3866208469
85	0.3862876364
86	0.3855921564
87	0.3850652728
88	0.3847361708
89	0.3841259501
90	0.3838078612
91	0.383229439
92	0.382208759
