iter	Passed	Remaining
0	247	247276
1	472	235696
2	657	218668
3	892	222304
4	1105	220039
5	1317	218296
6	1539	218360
7	1744	216346
8	1964	216281
9	2176	215522
10	2388	214730
11	2584	212789
12	2765	209932
13	2976	209630
14	3198	210007
15	3410	209764
16	3617	209165
17	3818	208306
18	4021	207618
19	4209	206277
20	4385	204426
21	4582	203695
22	4755	201989
23	4956	201550
24	5121	199722
25	5332	199769
26	5521	198978
27	5732	198999
28	5919	198193
29	6124	198013
30	6331	197921
31	6534	197668
32	6715	196782
33	6896	195935
34	7097	195696
35	7315	195905
36	7524	195843
37	7698	194892
38	7905	194803
39	8097	194331
40	8273	193512
41	8474	193300
42	8668	192914
43	8866	192643
44	9054	192156
45	9226	191352
46	9433	191288
47	9629	190976
48	9800	190206
49	10009	190181
50	10211	190012
51	10408	189760
52	10610	189590
53	10777	188806
54	10966	188425
55	11162	188168
56	11360	187951
57	11544	187502
58	11743	187301
59	11944	187133
60	12151	187057
61	12345	186779
62	12533	186412
63	12744	186381
64	12931	186019
65	13129	185797
66	13316	185433
67	13526	185388
68	13670	184458
69	13889	184534
70	14040	183707
71	14253	183706
72	14460	183627
73	14673	183616
74	14874	183447
75	15075	183290
76	15283	183204
77	15494	183151
78	15680	182811
79	15878	182600
80	16088	182530
81	16265	182099
82	16447	181716
83	16654	181618
84	16857	181469
85	17074	181468
86	17285	181398
87	17482	181183
88	17696	181145
89	17914	181137
90	18132	181123
91	18306	180682
92	18528	180701
